ckey,rkey,cdate,rdate,cr11,cr12,cr17,rr17,cr18,rr18,cv01,rv01,cv02,rv02
20110044420,20110044420,19991230,20000205,NA,1,NA,NA,NA,NA,3,NA,1,NA
20110044429,20110044429,20000119,20000128,NA,2,NA,NA,NA,NA,2,NA,2,NA
20110044430,20110044430,20000119,20000209,NA,2,NA,NA,NA,NA,3,NA,1,NA
20110044468,20110044468,20000118,20000211,2,NA,NA,2,NA,NA,2,NA,2,NA
20110044530,20110044530,20000119,20000212,NA,1,NA,NA,NA,NA,3,NA,1,NA
20110044570,20110044570,19991217,20000210,2,NA,NA,NA,NA,NA,1,NA,2,NA
20110044659,20110044659,19991223,20000210,2,NA,NA,NA,NA,NA,1,NA,1,NA
20110044691,20110044691,19991219,20000211,NA,2,NA,NA,NA,NA,4,NA,NA,NA
20110044776,20110044776,20000122,20000212,2,NA,NA,NA,NA,NA,1,NA,1,NA
20110044778,20110044778,20000104,20000201,3,NA,NA,NA,NA,NA,3,NA,2,NA
20110044815,20110044815,19991219,20000201,2,NA,NA,NA,NA,NA,4,NA,NA,NA
20110044894,20110044894,19991219,20000205,3,NA,NA,NA,NA,NA,1,NA,2,NA
20110044898,20110044898,19991221,20000202,NA,NA,NA,NA,NA,NA,2,NA,2,NA
20110044937,20110044937,20000119,20000212,NA,1,NA,NA,NA,3,2,NA,2,NA
20110044940,20110044940,20000120,20000128,NA,1,NA,NA,NA,1,2,NA,1,NA
20110044943,20110044943,20000120,20000128,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110044952,20110044952,19991228,20000203,NA,NA,NA,NA,NA,NA,998,NA,NA,NA
20110044965,20110044965,19991229,20000210,2,NA,NA,2,NA,NA,1,NA,2,NA
20110044968,20110044968,20000103,20000129,1,NA,NA,1,NA,NA,1,NA,1,NA
20110044973,20110044973,20000105,20000131,NA,1,NA,NA,NA,NA,3,NA,1,NA
20110045007,20110045007,19991222,20000209,NA,2,NA,NA,NA,NA,4,NA,NA,NA
20110045012,20110045012,19991219,20000129,1,NA,NA,1,NA,NA,1,NA,2,NA
20110045018,20110045018,19991229,20000126,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110045022,20110045022,19991227,20000212,2,NA,NA,NA,NA,NA,1,NA,1,NA
20110045057,20110045057,19991217,20000128,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110045058,20110045058,19991217,20000126,6,NA,NA,NA,NA,NA,1,NA,1,NA
20110045163,20110045163,20000105,20000211,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
20110045211,20110045211,19991217,20000202,7,NA,NA,NA,NA,NA,1,NA,2,NA
20110045235,20110045235,19991222,20000212,2,NA,NA,NA,NA,NA,1,NA,1,NA
20110045282,20110045282,20000118,20000129,NA,2,NA,NA,NA,NA,3,NA,2,NA
20110045292,20110045292,20000119,20000128,NA,2,NA,NA,NA,2,2,NA,2,NA
20110045296,20110045296,20000121,20000126,NA,NA,NA,NA,NA,NA,2,NA,2,NA
20110045319,20110045319,20000104,20000212,NA,NA,NA,NA,NA,NA,1,NA,2,NA
20110045325,20110045325,19991226,20000206,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20110045376,20110045376,20000120,20000201,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110045388,20110045388,19991219,20000206,5,NA,NA,5,NA,NA,1,NA,1,NA
20110045390,20110045390,19991217,20000202,NA,NA,NA,NA,NA,NA,1,NA,2,NA
20110045549,20110045549,20000122,20000209,2,NA,NA,NA,NA,NA,3,NA,2,NA
20110045592,20110045592,20000121,20000206,NA,NA,NA,NA,NA,NA,998,NA,NA,NA
20110045620,20110045620,20000103,20000211,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110045654,20110045654,19991229,20000128,3,NA,NA,NA,NA,NA,2,NA,2,NA
20110045679,20110045679,19991220,20000211,2,NA,NA,NA,NA,NA,1,NA,2,NA
20110045705,20110045705,20000121,20000127,2,NA,NA,2,NA,NA,1,NA,1,NA
20110045732,20110045732,20000104,20000129,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
20110045739,20110045739,19991222,20000129,NA,2,NA,NA,NA,NA,2,NA,2,NA
20110045748,20110045748,20000104,20000201,NA,1,NA,NA,NA,NA,2,NA,1,NA
20110045791,20110045791,19991220,20000203,NA,2,NA,NA,NA,NA,2,NA,2,NA
20110045828,20110045828,20000105,20000129,2,NA,NA,999,NA,NA,3,NA,2,NA
20110045839,20110045839,20000118,20000127,NA,998,NA,NA,NA,NA,2,NA,2,NA
20110045873,20110045873,20000122,20000128,2,NA,NA,2,NA,NA,4,NA,NA,NA
20110045880,20110045880,20000120,20000130,NA,2,NA,NA,NA,NA,3,NA,1,NA
20110045950,20110045950,20000121,20000127,NA,1,NA,NA,NA,1,2,NA,1,NA
20110045959,20110045959,19991229,20000211,NA,1,NA,NA,NA,1,3,NA,2,NA
20110045961,20110045961,20000121,20000217,NA,2,NA,NA,NA,NA,2,NA,2,NA
20110045991,20110045991,20000121,20000212,NA,1,NA,NA,NA,1,3,NA,2,NA
20110045997,20110045997,20000121,20000201,5,NA,NA,NA,NA,NA,3,NA,998,NA
20110046056,20110046056,19991216,20000128,NA,2,NA,NA,NA,2,2,NA,1,NA
20110046067,20110046067,19991228,20000201,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20110046068,20110046068,19991228,20000203,NA,2,NA,NA,NA,2,2,NA,2,NA
20110046139,20110046139,20000119,20000126,NA,1,NA,NA,NA,NA,2,NA,1,NA
20110046146,20110046146,20000103,20000213,NA,1,NA,NA,NA,NA,2,NA,1,NA
20110046275,20110046275,19991216,20000213,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110046278,20110046278,19991230,20000126,NA,1,NA,NA,NA,2,2,NA,1,NA
20110046341,20110046341,20000121,20000127,NA,2,NA,NA,NA,2,2,NA,1,NA
20110046343,20110046343,20000123,20000126,5,NA,NA,5,NA,NA,1,NA,1,NA
20110046345,20110046345,20000103,20000128,NA,NA,NA,NA,NA,NA,2,NA,2,NA
20110046348,20110046348,19991230,20000202,NA,2,NA,NA,NA,NA,2,NA,1,NA
20110046353,20110046353,19991216,20000211,NA,2,NA,NA,NA,2,2,NA,1,NA
20110046360,20110046360,20000108,20000212,NA,NA,NA,NA,NA,NA,2,NA,1,NA
20110046438,20110046438,20000119,20000128,2,NA,NA,2,NA,NA,1,NA,2,NA
20110046452,20110046452,20000120,20000209,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
20110046467,20110046467,20000120,20000213,NA,1,NA,NA,NA,1,2,NA,2,NA
20110046516,20110046516,19991223,20000201,NA,NA,NA,NA,NA,NA,2,NA,2,NA
20110046523,20110046523,19991223,20000212,998,NA,NA,NA,NA,NA,1,NA,1,NA
20110046574,20110046574,19991216,20000127,NA,2,NA,NA,NA,2,2,NA,1,NA
20110046632,20110046632,19991215,20000209,NA,998,NA,NA,NA,NA,3,NA,2,NA
20110046651,20110046651,20000122,20000127,NA,1,NA,NA,NA,2,2,NA,2,NA
20110046663,20110046663,19991221,20000202,NA,998,NA,NA,NA,2,2,NA,1,NA
20110046703,20110046703,20000121,20000205,2,NA,NA,NA,NA,NA,1,NA,2,NA
20110046704,20110046704,20000123,20000210,2,NA,NA,NA,NA,NA,1,NA,2,NA
20110046722,20110046722,19991229,20000213,2,NA,NA,NA,NA,NA,1,NA,1,NA
20110046735,20110046735,19991222,20000202,NA,1,NA,NA,NA,NA,1,NA,2,NA
20110046739,20110046739,20000120,20000126,NA,NA,NA,NA,NA,NA,1,NA,2,NA
20110046753,20110046753,20000121,20000131,2,NA,NA,NA,NA,NA,1,NA,1,NA
20110046760,20110046760,20000120,20000127,2,NA,NA,NA,NA,NA,1,NA,1,NA
