rkey,date_c,date_r,ma01_c,ma01r4v_c,ma01_r,ma01r4v_r,mb01_c,mb02_c,mb02_r,rba01_c,rba01r9v_c,rba02_c,rba02r9v_c
10673576,20080813,20081107,2,,2,,3,2,2,NA,,NA,
10673834,20080812,20081107,3,,3,,3,1,1,NA,,NA,
10674226,20080808,20081105,2,,2,,4,4,4,NA,,NA,
10674227,20080812,20081108,2,,2,,3,2,3,NA,,NA,
10674474,20080816,20081107,2,,2,,3,2,2,NA,,NA,
10674501,20080816,20081109,2,,2,,3,4,4,NA,,NA,
10674874,20080815,20081105,1,,1,,3,3,4,NA,,NA,
10674991,20080809,20081106,3,,3,,4,4,4,NA,,NA,
10675178,20080815,20081108,1,,1,,3,4,3,NA,,NA,
10675845,20080813,20081105,2,,2,,3,2,2,NA,,NA,
10676230,20080820,20081106,3,,3,,3,2,3,NA,,NA,
10676553,20080812,20081108,3,,4,libertarian,3,3,3,NA,,NA,
10676943,20080816,20081108,3,,3,,4,3,4,NA,,NA,
10677082,20080823,20081105,998,,4,dont vote,3,2,2,NA,,NA,
10677394,20080812,20081110,1,,1,,3,3,4,NA,,NA,
10677480,20080817,20081109,2,,2,,2,2,4,NA,,NA,
10677701,20080808,20081107,1,,1,,3,2,2,NA,,NA,
10677787,20080829,20081109,2,,2,,3,3,4,NA,,NA,
10677935,20080814,20081108,2,,2,,2,4,4,NA,,NA,
10678053,20080810,20081109,1,,1,,3,4,4,NA,,NA,
10678061,20080816,20081105,3,,3,,3,3,4,NA,,NA,
10678487,20080819,20081106,3,,3,,3,2,2,NA,,NA,
10678565,20080814,20081105,3,,3,,3,1,1,NA,,NA,
10678983,20080809,20081106,3,,3,,3,2,1,NA,,NA,
10679501,20080810,20081108,1,,1,,4,2,2,NA,,NA,
10679603,20080809,20081108,3,,998,,3,2,2,NA,,NA,
10679680,20080818,20081107,1,,1,,2,3,2,NA,,NA,
10679688,20080811,20081106,1,,1,,3,1,2,NA,,NA,
10679917,20080816,20081108,3,,1,,3,4,4,NA,,NA,
10680076,20080817,20081105,1,,1,,4,5,4,NA,,NA,
10680214,20080808,20081105,2,,2,,3,1,3,NA,,NA,
10680286,20080810,20081105,2,,2,,3,1,1,NA,,NA,
10680520,20080813,20081105,2,,3,,2,4,4,NA,,NA,
10680728,20080816,20081109,3,,1,,3,3,3,NA,,NA,
10680731,20080810,20081110,3,,3,,4,2,2,NA,,NA,
10680847,20080823,20081107,2,,2,,3,2,3,NA,,NA,
10681020,20080814,20081108,3,,3,,3,2,2,NA,,NA,
10681897,20080810,20081106,1,,1,,3,2,3,NA,,NA,
10682149,20080809,20081106,2,,2,,2,3,3,NA,,NA,
10682187,20080816,20081106,3,,4,realest,3,2,2,NA,,NA,
10682446,20080811,20081107,2,,2,,2,1,2,NA,,NA,
10682660,20080820,20081105,3,,3,,3,4,4,NA,,NA,
10682887,20080822,20081106,1,,998,,3,2,2,NA,,NA,
10682890,20080816,20081108,4,libertarian,2,,3,2,1,NA,,NA,
10682953,20080813,20081106,2,,2,,3,3,3,NA,,NA,
10683777,20080810,20081106,3,,3,,3,5,4,NA,,NA,
10684219,20080819,20081105,1,,1,,3,4,4,NA,,NA,
10684317,20080824,20081108,2,,2,,3,2,2,NA,,NA,
10684669,20080828,20081110,3,,3,,3,4,4,NA,,NA,
10684689,20080810,20081110,2,,2,,3,4,4,NA,,NA,
10684973,20080817,20081107,1,,1,,3,2,2,NA,,NA,
10685132,20080810,20081105,2,,2,,2,3,3,NA,,NA,
10685175,20080811,20081105,1,,3,,3,2,3,NA,,NA,
10685248,20080813,20081106,2,,3,,2,3,2,NA,,NA,
10685283,20080811,20081108,2,,2,,3,4,4,NA,,NA,
10685559,20080809,20081108,2,,2,,2,1,1,NA,,NA,
10686095,20080816,20081108,1,,1,,4,1,1,NA,,NA,
10686647,20080816,20081108,1,,1,,3,4,4,NA,,NA,
10686667,20080816,20081106,3,,3,,3,3,3,NA,,NA,
10686709,20080811,20081108,3,,1,,3,4,3,NA,,NA,
10686868,20080816,20081105,1,,1,,2,4,4,NA,,NA,
10687204,20080813,20081105,2,,2,,3,1,2,NA,,NA,
10687681,20080829,20081109,1,,1,,3,2,2,NA,,NA,
10688109,20080809,20081109,2,,2,,3,3,3,NA,,NA,
10688236,20080818,20081108,1,,1,,4,3,2,NA,,NA,
10688605,20080809,20081105,2,,2,,3,2,2,NA,,NA,
10689146,20080809,20081108,3,,3,,3,2,4,NA,,NA,
10689555,20080810,20081109,3,,3,,3,4,4,NA,,NA,
10689918,20080813,20081106,1,,1,,4,2,3,NA,,NA,
10690152,20080813,20081106,1,,1,,4,4,4,NA,,NA,
10690753,20080808,20081106,2,,2,,3,1,1,NA,,NA,
10690883,20080814,20081108,3,,3,,4,4,4,NA,,NA,
10690994,20080825,20081105,2,,2,,3,4,4,NA,,NA,
10691070,20080810,20081109,2,,2,,3,4,3,NA,,NA,
10691485,20080816,20081110,3,,2,,3,3,4,NA,,NA,
10691695,20080817,20081107,1,,1,,3,4,4,NA,,NA,
10691935,20080809,20081108,2,,2,,3,2,2,NA,,NA,
10692015,20080812,20081105,2,,2,,3,4,4,NA,,NA,
10692130,20080810,20081108,3,,3,,3,1,2,NA,,NA,
10692379,20080816,20081105,4,independent socialist,4,socialist,4,4,4,NA,,NA,
10692431,20080813,20081108,3,,3,,3,2,1,NA,,NA,
10692618,20080811,20081105,3,,3,,3,3,3,NA,,NA,
10692932,20080821,20081106,3,,3,,2,3,4,NA,,NA,
10693190,20080820,20081106,2,,2,,3,3,3,NA,,NA,
