case,pid_7,ft_dem,ft_rep,ideo_self,ideo_dem,ideo_rep,primary_vote,primary_vote_choice_num,dis_democ,distrust_gov,wrong_track_dum,gov_run_for_few_dum,gov_care_post,wealth_gap_larger,age,race,weight,date,income,sex,pid_7_num,pid_3,therm_dem,therm_rep,primary_vote_dum,primary_vote_choice,cand_party,dis_democ_dum,trust_gov,distrust_gov_dum,officials_dont_care_dum,therm_parties_mean,therm_inparty,therm_outparty,year,below_50_qual_strict,wealth_gap_larger_dum,primary_vote_simple,below_35k_dum
2020_354431,Independent - Democrat,40,0,1,3,6,Voted,5,2,4,1,1,1,1,47,White,0.714065881827049,2020-09-04,17,Male,3,Democrat,40,0,1,Bernie Sanders,Democrat,0,Some of the Time,1,1,20,40,0,2020,cold,1,Loser,0
2020_354448,Independent - Independent,50,50,4,4,4,Voted,10,4,3,1,1,2,1,26,Black,0.723059298071494,2020-09-01,4,Male,4,Independent,50,50,1,Someone Neither Dem. Nor Rep.,Other Party,1,About Half the time,0,1,50,NA,NA,2020,NA,1,Voted in Other Primary,1
2020_354462,Weak Democrat,70,30,4,5,4,Voted,1,2,3,1,1,3,1,29,Black,1.60902825894426,2020-10-26,10,Female,2,Democrat,70,30,1,Joe Biden,Democrat,0,About Half the time,0,0,50,70,30,2020,warm,1,Winner,0
2020_354479,Weak Democrat,65,25,2,3,6,Voted,4,2,4,1,1,3,1,30,White,0.500051169490025,2020-09-22,19,Male,2,Democrat,65,25,1,Amy Klobuchar,Democrat,0,Some of the Time,1,0,45,65,25,2020,NA,1,Loser,0
2020_354547,Strong Republican,0,85,99,-9,-9,Voted,8,-6,2,0,0,-6,3,80,White,0.810954362783543,2020-08-20,8,Female,7,Republican,0,85,1,Donald Trump,Republican,NA,Most of the Time,0,NA,42.5,85,0,2020,warm,0,Winner,0
2020_354592,Strong Democrat,87,0,2,3,7,Voted,6,4,4,1,1,2,1,43,White,1.14444140478044,2020-09-18,21,Male,1,Democrat,87,0,1,Elizabeth Warren,Democrat,1,Some of the Time,1,1,43.5,87,0,2020,warm,1,Loser,0
2020_354684,Weak Republican,0,70,6,1,4,Voted,8,4,4,0,1,1,2,50,White,1.74084621993391,2020-10-16,16,Male,6,Republican,0,70,1,Donald Trump,Republican,1,Some of the Time,1,1,35,70,0,2020,warm,0,Winner,0
2020_354691,Strong Democrat,50,50,99,7,7,Didn't Vote,NA,-6,3,1,0,-6,2,28,Other,0.478196821090065,2020-10-30,3,Female,1,Democrat,50,50,0,NA,NA,NA,About Half the time,0,NA,50,50,50,2020,NA,0,Didn't Vote,1
2020_354707,Weak Republican,50,85,99,1,4,Voted,10,-7,3,1,1,-7,1,41,White,0.718818841515307,2020-08-20,NA,NA,6,Republican,50,85,1,Someone Neither Dem. Nor Rep.,Other Party,NA,About Half the time,0,NA,67.5,85,50,2020,warm,1,Voted in Other Primary,NA
2020_354752,Weak Republican,30,85,5,1,7,Voted,8,2,4,0,1,1,3,46,White,0.192720382472306,2020-09-18,2,Female,6,Republican,30,85,1,Donald Trump,Republican,0,Some of the Time,1,1,57.5,85,30,2020,warm,0,Winner,1
