boot,pid_3,below_50_qual_strict,prop_vote_general,mean_activist_index,prop_meetings,prop_work_cand,prop_display_merch,prop_donate,prop_watch_campaign_tv,prop_know_house_pre,prop_talk_pol_most,prop_vote_primary,prop_vote_inparty_house,prop_vote_outparty_pres,prop_vote_thirdparty_pres,prop_vote_inparty_pres
1566,Democrat,warm,0.7290396023073797,0.1227837953614223,0.0895122062318835,0.04584101487094392,0.14251856054958517,0.11002766637479988,0.8324240857528141,0.5884147554714718,0.26804725813397046,0.41133573540716256,0.48425641763232435,0.05635176230462718,0.025682464252192047,0.9179657734431809
1566,Democrat,NA,0.639557606166324,0.09004525824583944,0.055537969619503684,0.029048673255967574,0.0818875256129382,0.08878770733542062,0.7249454439066703,0.5472488527744801,0.24157244307407594,0.32561480679018034,0.3591724946442455,0.15338601264310325,0.07065205312163977,0.775961934235257
1566,Republican,cold,0.775004874833758,0.108464529101286,0.04571692577376838,0.03131515105321378,0.07816025390448844,0.09331630154359022,0.7247059363604442,0.6860967435156993,0.3535917376489003,0.394771289375254,0.4223909869844054,0.23807377893571247,0.12466359835864402,0.6372626227056436
1566,Republican,warm,0.7820062920480696,0.13978261768653252,0.09074259276686943,0.04206634813143595,0.12909281427627575,0.1465440880187588,0.8342666085386731,0.6673995418601397,0.3052935345689121,0.44243745279969465,0.5268201827503011,0.0454065182862197,0.020960737089546953,0.9336327446242334
1566,Republican,NA,0.6833858555113826,0.09377278989952999,0.05107683875055749,0.031704092703556105,0.07605933027212021,0.09582807518234181,0.7304474732517512,0.5898387232544654,0.2718093918701674,0.3525418139269299,0.41331183366004404,0.14002825848183517,0.08599972267209248,0.7739720188460725
1567,Democrat,cold,0.7044610199950829,0.09672934442771414,0.04603461434525229,0.027763129085198044,0.1016960487995838,0.07801408551057938,0.767256738197128,0.6331232654367475,0.24609935650741133,0.3804491848635131,0.3352202405889372,0.35651514131047896,0.1754767176568643,0.4680081410326567
1567,Democrat,warm,0.7216549953912225,0.11944187963674009,0.08578061913720506,0.04448852370562256,0.14086579091628162,0.09958883754470195,0.8306492598576128,0.5796224348103993,0.2688230992752196,0.40743935466833375,0.47271496472645735,0.06511365366313684,0.029189108708020453,0.9056972376288427
1567,Democrat,NA,0.6317378330046118,0.08639429159284687,0.0583820786322233,0.026247340342105435,0.07694145426508646,0.0866500543329508,0.7221327840106997,0.5527585578027663,0.24413895619051104,0.3334843681907932,0.35448522943855937,0.1608904260269181,0.07053065292223736,0.7685789210508446
1567,Republican,cold,0.7425608751750644,0.11326837480604492,0.06542208404502373,0.03134135317403903,0.08169755431877443,0.09479104797439199,0.789385595256017,0.714393489589338,0.3799896988845583,0.4071611767530997,0.444978854807468,0.2325529057529628,0.1523039128920504,0.6151431813549867
1567,Republican,warm,0.7820671690783674,0.13437883844080967,0.07938200817609019,0.04305205297787142,0.13361682038861794,0.1339372533500119,0.8241826871071509,0.6572679364600116,0.30955124116849875,0.4368480833650934,0.5240967359560441,0.04349628901403042,0.022722975894448695,0.9337807350915209
1567,Republican,NA,0.6887884637498523,0.0946635915865646,0.0506345698805108,0.03103870196834988,0.06796083114312342,0.09690008775024836,0.7447162610561099,0.5928681090273514,0.279656062920605,0.35484698008473453,0.41035789046146154,0.11595538418608224,0.0816438665683037,0.8024007492456141
1568,Democrat,cold,0.6969979507710149,0.11399260326217316,0.07492926835878906,0.03878953237637559,0.1217828304816442,0.09025508807545228,0.7957663266577449,0.598896475733541,0.28682095938759067,0.3732962000164839,0.354346152401171,0.40452361898337075,0.11976909018357706,0.4757072908330523
1568,Democrat,warm,0.7213649245029512,0.12370729402482404,0.09050439519454168,0.0467326001174082,0.14840044905281574,0.11056495815982365,0.8270986284755357,0.58196152074354,0.28105610312126394,0.4204513320327737,0.4796534764969207,0.06909084339156131,0.02317009208009966,0.9077390645283391
1568,Democrat,NA,0.6276679002733079,0.0858955261273656,0.058757044791174474,0.028467074114471302,0.07933797343221055,0.0774600558327282,0.7289600474617237,0.5385313946136007,0.24676901506467785,0.3234981335654286,0.35560872047181896,0.15183652605554723,0.07450020284684723,0.7736632710976055
1568,Republican,cold,0.7513679124109179,0.11471166038600561,0.06366411268661594,0.023400932449626467,0.09382997158418505,0.08373408761316163,0.7531174760565251,0.6836428167063442,0.33283113486298127,0.3908104966135803,0.41322974547800234,0.23510771059051036,0.1480785004987238,0.6168137889107658
1568,Republican,warm,0.7811021956662108,0.13766144222244484,0.07988248186547962,0.0400205830741965,0.1306156188810391,0.13816434795070054,0.837962255792813,0.674163962823176,0.3102507170599528,0.42649804290944515,0.5200719865420284,0.04330902727044718,0.02565925089164765,0.9310317218379053
1568,Republican,NA,0.70864213422228,0.09575833178188042,0.054279798771761124,0.02951370567189622,0.07866787134028158,0.09573671080142498,0.7526545423037534,0.5971671422796597,0.28523655354483757,0.3697881272890248,0.43082457865587775,0.10926514637632949,0.07968981557032803,0.8110450380533424
1569,Democrat,cold,0.6958529976346091,0.12300129946879125,0.07639786689575499,0.05260034769053016,0.12112292071275156,0.08865674639711016,0.7766411182936552,0.6303912591751245,0.27641383091201005,0.41162637929732876,0.35154383083461394,0.32894313737567676,0.15314052101061942,0.5179163416137038
1569,Democrat,warm,0.7185394351903046,0.11995167846414519,0.08647836788068805,0.04286083358896761,0.14252773925056356,0.1045951739385698,0.8224424114263362,0.5825744416082922,0.27779146441249797,0.4059572693368148,0.4738483739344587,0.05530957797371161,0.023431598396015017,0.9212588236302734
1569,Democrat,NA,0.6311209591325796,0.08355991476736827,0.05750899723847574,0.02887854385955581,0.07297530208890858,0.07720869013627844,0.7183150459713618,0.5360816957793239,0.23664406867607174,0.33467632222646415,0.3515330613924042,0.16144540456770382,0.08799586048486467,0.7505587349474315
1569,Republican,cold,0.8017800221692197,0.11269346758962098,0.06558083082103285,0.034272101718805056,0.07481339236181632,0.09050134261253148,0.7220520023285537,0.6982319325700154,0.3233148460639817,0.43287308823949117,0.45194867646331577,0.2629939290950985,0.1372059564386633,0.5998001144662382
1569,Republican,warm,0.7792023679942758,0.13639119390042959,0.0827723828124672,0.045885084928817606,0.12535190599831586,0.1395896697531666,0.8317252800578526,0.6614695537404333,0.3111858441002164,0.43577238817941577,0.5232041422509377,0.0460936193139087,0.024380224798491983,0.9295261558875993
1569,Republican,NA,0.6929718461459339,0.0953531063007931,0.05539513799823673,0.027884044544463898,0.07788767927548683,0.0928895258336377,0.7519035551999785,0.5892618874894386,0.2724864220322341,0.363580306643745,0.4241770239218881,0.11760297756673686,0.06762328241024462,0.8147737400230185
1570,Democrat,cold,0.6601773363273686,0.0978361247681625,0.04994937994835934,0.029624754671650076,0.07697227569686156,0.09429876271220242,0.7332582442328548,0.6203309626085948,0.2689240537391541,0.36516285403730586,0.35277032509758804,0.3477007536254698,0.14619503311185883,0.5061042132626714
1570,Democrat,warm,0.7264377877973136,0.12199332706211596,0.08591332129687385,0.04510925057059076,0.14510414046989203,0.11038602452421784,0.8236342982843532,0.5728505763417777,0.2850161545235152,0.4130372370530337,0.48493963539456486,0.05693296925059779,0.03004110270330437,0.9130259280460978
1570,Democrat,NA,0.6343481777901309,0.08827410914692267,0.05876299210420453,0.03064828999762367,0.08404916095884203,0.08527912891638381,0.70069021354867,0.5404765198449738,0.24411641677943371,0.3164766675621435,0.3475276609117048,0.15621033518770414,0.08148049756783811,0.7623091672444577
