case,age,sex,race,income,weight,primary_vote_choice,primary_vote,ideo_self,ideo_rep,ideo_dem,therm_dem,therm_rep,pid_3,below_35k_dum,therm_inparty,therm_outparty,primary_vote_dum,cand_party,primary_vote_simple,year,ideo_inparty,ideo_outparty,ideo_self_in_dif,ideo_self_out_dif,ideo_in_out_dif,age_group,ideo_self_std,ideo_self_prt_std,ideo_inparty_std,ideo_inparty_prt_std,ideo_self_in_dif_std,male_dum,white_dum
2012_193,33,Male,White,17,1.315,Didn't Vote,0,NA,NA,NA,60,60,NA,0,NA,NA,0,NA,NA,2012,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1
2012_194,56,Male,White,10,2.242,Didn't Vote,0,NA,4,4,40,30,Independent,1,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,1
2012_195,36,Male,White,21,2.012,Didn't Vote,0,NA,2,5,85,60,Democrat,0,85,60,0,NA,Didn't Vote,2012,5,2,NA,NA,3,2,NA,NA,0.3333333333333333,0.33333333333333337,NA,1,1
2012_196,26,Female,Other,4,0.367,Didn't Vote,0,NA,6,2,15,85,Democrat,1,15,85,0,NA,Didn't Vote,2012,2,6,NA,NA,4,1,NA,NA,-0.6666666666666666,0.8333333333333333,NA,0,0
2012_197,22,Male,White,2,0.596,Didn't Vote,0,NA,NA,NA,70,40,Democrat,1,70,40,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1
2012_198,36,Female,Black,15,0.174,Didn't Vote,0,NA,2,5,85,15,Independent,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0
2012_199,53,Male,White,19,1.778,Didn't Vote,0,NA,6,3,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,1
2012_200,22,Female,White,3,0.604,Didn't Vote,0,5,7,2,40,60,Republican,1,60,40,0,NA,Didn't Vote,2012,7,2,-2,3,5,1,0.3333333333333333,0.6666666666666666,1,1,-0.33333333333333337,0,1
2012_201,32,Female,White,19,1.649,Didn't Vote,0,5,6,2,30,60,Republican,0,60,30,0,NA,Didn't Vote,2012,6,2,-1,3,4,1,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333333,-0.16666666666666663,0,1
2012_202,51,Female,Other,NA,0.301,Didn't Vote,0,1,7,1,0,100,Republican,NA,100,0,0,NA,Didn't Vote,2012,7,1,-6,0,6,3,-1,0,1,1,-1,0,0
2012_203,24,Female,Black,1,0.126,Didn't Vote,0,NA,4,4,50,50,Independent,1,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0
2012_204,22,Female,White,4,0.889,Didn't Vote,0,NA,NA,NA,50,50,Independent,1,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1
2012_205,43,Male,White,1,3.82,Didn't Vote,0,NA,6,6,60,70,Independent,1,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1
2012_206,22,Female,White,3,0.119,Didn't Vote,0,1,6,4,60,15,NA,1,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,1,-1,NA,NA,NA,NA,0,1
2012_207,25,Male,White,1,0.129,Didn't Vote,0,4,6,1,0,30,NA,1,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,1,1
2012_208,21,Male,White,1,0.125,Didn't Vote,0,3,2,6,70,50,NA,1,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,1,-0.3333333333333333,NA,NA,NA,NA,1,1
2012_209,25,Male,White,7,0.135,Didn't Vote,0,5,7,1,40,40,Republican,1,40,40,0,NA,Didn't Vote,2012,7,1,-2,4,6,1,0.3333333333333333,0.6666666666666666,1,1,-0.33333333333333337,1,1
2012_210,32,Male,White,9,0.131,Didn't Vote,0,3,6,3,70,30,Democrat,1,70,30,0,NA,Didn't Vote,2012,3,6,0,-3,3,1,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.6666666666666666,0,1,1
2012_211,35,Female,White,19,0.222,Didn't Vote,0,5,5,3,40,60,Independent,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,2,0.3333333333333333,NA,NA,NA,NA,0,1
