age,sex,race,income,weight,primary_vote_choice,primary_vote,ideo_self,ideo_rep,ideo_dem,therm_dem,therm_rep,pid_3,below_35k_dum,therm_inparty,therm_outparty,primary_vote_dum,cand_party,primary_vote_simple,year
32,Female,White,21,1.2932,Didn't Vote,NA,4,6,2,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016
54,Male,White,24,0.9652,Didn't Vote,NA,2,7,3,85,0,Democrat,0,85,0,0,NA,Didn't Vote,2016
20,Female,White,3,3.9214,Didn't Vote,NA,2,7,7,4,1,Republican,1,1,4,0,NA,Didn't Vote,2016
65,Male,White,21,1.0851,Donald Trump,1,6,4,2,1,41,Republican,0,41,1,1,Republican,Winner,2016
32,Male,White,26,1.0088,Bernie Sanders,1,1,7,5,56,2,Democrat,0,56,2,1,Democrat,Loser,2016
60,Female,White,7,0.3515,Didn't Vote,NA,2,6,2,63,1,Democrat,1,63,1,0,NA,Didn't Vote,2016
63,Female,Other,21,0.8625,Hillary Clinton,1,3,6,3,80,1,Democrat,0,80,1,1,Democrat,Winner,2016
28,Female,Other,25,1.6367,Didn't Vote,NA,2,5,3,80,20,Democrat,0,80,20,0,NA,Didn't Vote,2016
42,Male,White,27,0.6238,Didn't Vote,NA,3,7,2,60,15,Independent,0,NA,NA,0,NA,Didn't Vote,2016
60,Female,White,23,1.4957,Didn't Vote,NA,3,3,4,59,67,Other,0,NA,NA,0,NA,Didn't Vote,2016
33,Male,Other,15,0.472,Didn't Vote,NA,99,5,2,70,40,Democrat,0,70,40,0,NA,Didn't Vote,2016
57,Female,White,5,0.3733,Didn't Vote,NA,2,6,3,85,30,Democrat,1,85,30,0,NA,Didn't Vote,2016
76,Female,White,21,1.1868,Marco Rubio,1,6,5,1,40,60,Republican,0,60,40,1,Republican,Loser,2016
62,Female,White,11,0.4389,Another Republican,1,7,6,1,0,85,Republican,1,85,0,1,Republican,Loser,2016
31,Female,White,14,0.9335,Didn't Vote,NA,7,5,2,16,41,Republican,0,41,16,0,NA,Didn't Vote,2016
18,Male,Other,15,2.4107,Didn't Vote,NA,99,4,4,15,15,Independent,0,NA,NA,0,NA,Didn't Vote,2016
34,Female,Other,21,1.3215,Hillary Clinton,1,2,4,3,70,60,Independent,0,NA,NA,1,Democrat,Voted in Other Party Primary,2016
46,Male,White,21,0.6195,Donald Trump,1,5,6,1,15,50,Republican,0,50,15,1,Republican,Winner,2016
39,Male,White,25,0.766,Didn't Vote,NA,5,5,2,60,60,Republican,0,60,60,0,NA,Didn't Vote,2016
54,Male,White,25,1.0613,Hillary Clinton,1,2,7,3,100,0,Democrat,0,100,0,1,Democrat,Winner,2016
63,Male,White,21,0.6217,Didn't Vote,NA,3,6,2,62,57,Democrat,0,62,57,0,NA,Didn't Vote,2016
35,Female,White,18,0.8795,Didn't Vote,NA,3,7,5,40,15,Independent,0,NA,NA,0,NA,Didn't Vote,2016
32,Male,White,17,0.707,Donald Trump,1,6,5,1,0,60,Republican,0,60,0,1,Republican,Winner,2016
30,Male,White,1,0.4764,Didn't Vote,NA,1,2,4,85,50,Independent,1,NA,NA,0,NA,Didn't Vote,2016
30,Female,White,11,0.7422,Didn't Vote,NA,6,5,3,48,60,Independent,1,NA,NA,0,NA,Didn't Vote,2016
31,Male,White,12,0.7973,Didn't Vote,NA,99,6,2,70,40,Independent,0,NA,NA,0,NA,Didn't Vote,2016
26,Female,White,7,0.6872,Didn't Vote,NA,4,6,6,68,16,Democrat,1,68,16,0,NA,Didn't Vote,2016
42,Female,White,6,1.5319,Didn't Vote,NA,99,5,4,85,60,Democrat,1,85,60,0,NA,Didn't Vote,2016
68,Male,Other,13,0.2548,Didn't Vote,NA,4,7,4,85,15,Democrat,0,85,15,0,NA,Didn't Vote,2016
65,Female,White,28,0.4389,Hillary Clinton,1,2,7,2,85,NA,Democrat,0,85,NA,1,Democrat,Winner,2016
49,Female,Black,22,1.1213,Hillary Clinton,1,99,1,6,99,1,Democrat,0,99,1,1,Democrat,Winner,2016
66,Female,White,15,0.3959,Hillary Clinton,1,4,5,3,85,50,Democrat,0,85,50,1,Democrat,Winner,2016
37,Male,White,27,0.6858,Didn't Vote,NA,3,6,2,85,30,Independent,0,NA,NA,0,NA,Didn't Vote,2016
